cwnd, ssthresh, congestionEvent, no, time, source, destination, protocol, length, tcp_segment_len, tcp_delta, tcp_flags, tcp_ack, tcp_seq, tcp_window_size, info
3,3,0,1892,2.915652,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2555038,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,1893,2.915653,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2556498,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,1894,2.915653,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,2557958,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,1895,2.915654,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2559418,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,1896,2.915655,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2560878,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,1897,2.915656,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2562338,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,1898,2.916061,"192.168.10.196","192.168.10.184",6,54,0,0.000405,0x0010,2369618,1,53248,"5201 → 52343 [ACK] Seq=1 Ack=2369618 Win=212992 Len=0"
6,3,0,1899,2.916197,"192.168.10.184","192.168.10.196",6,1514,1460,0.000136,0x0010,1,2563798,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
7,3,1,1900,2.916198,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2565258,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,1901,2.916199,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2566718,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,1902,2.916200,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2568178,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
